Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","39120.04","Bran of maize","2022","2022","t","278142.08","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","39120.14","Bran of pulses","2021","2021","t","13733.93","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","39120.14","Bran of pulses","2021","2021","1000 USD","2644","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","39120.14","Bran of pulses","2021","2021","t","24.75","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","39120.14","Bran of pulses","2022","2022","t","2594.35","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","39120.14","Bran of pulses","2022","2022","1000 USD","698","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","39120.14","Bran of pulses","2022","2022","t","78.52","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","39120.01","Bran of wheat","2021","2021","t","53.77","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","39120.01","Bran of wheat","2021","2021","1000 USD","99","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","39120.01","Bran of wheat","2021","2021","t","154.37","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","39120.01","Bran of wheat","2022","2022","t","111.82","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","39120.01","Bran of wheat","2022","2022","1000 USD","229","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","39120.01","Bran of wheat","2022","2022","t","387.25","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01377","Brazil nuts, in shell","2021","2021","t","6895.85","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01377","Brazil nuts, in shell","2022","2022","t","8407.89","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","21429.01","Brazil nuts, shelled","2021","2021","t","988.4","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","21429.01","Brazil nuts, shelled","2021","2021","1000 USD","2822","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21429.01","Brazil nuts, shelled","2021","2021","t","2993.67","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","21429.01","Brazil nuts, shelled","2022","2022","t","591.37","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","21429.01","Brazil nuts, shelled","2022","2022","1000 USD","2192","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21429.01","Brazil nuts, shelled","2022","2022","t","2526.5","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","F0020","Bread","2021","2021","t","330.4","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","F0020","Bread","2021","2021","1000 USD","1664","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","F0020","Bread","2021","2021","t","1694.87","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","F0020","Bread","2022","2022","t","290.27","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","F0020","Bread","2022","2022","1000 USD","1445","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","F0020","Bread","2022","2022","t","1903.87","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","23140.03","Breakfast cereals","2021","2021","t","1213.02","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","23140.03","Breakfast cereals","2021","2021","1000 USD","3427","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","23140.03","Breakfast cereals","2021","2021","t","11219","I","Imputed value",""
